Key,Source,Context,Changes,English,French,German,Klingon,Spanish
keystoneBlockDesc,blocks,Block,EnChanged,A land claim block can be placed to protect an area from other players in PVP. The green box shows the size of the area.\n [ Crafted in [dd6262]Advanced Workbench[-]  ],Bloc de revendication de terrain à placer pour fournir à la zone autour une protection supplémentaire contre les autres joueurs en JcJ.,Ein Gebietsschutzblock kann platziert werden um einen Bereich vor anderen Spielern im PvP zu schützen. Die grüne Box zeigt die Grösse des Bereichs an.\n [ Herzustellen in der[dd6262] verbesserten Werkbank[-] ],,Se puede colocar un bloque para reclamar un territorio y darle al área circundante una protección extra frente a otros jugadores en JcJ.
scrapFrameGroupDesc,blocks,Block,EnChanged,Used for bases. Upgrade & repair with a construction tool & iron. Upgrade more with concrete mix & others.,,Wird für Basen verwendet. Kann mit Eisen und Bauwerkzeugen aufgewertet und repariert werden. Kann mit Betonmischung und geschmiedetem Stahl weiter aufgewertet werden.,,
scrapHatch_v1Desc,blocks,Block,EnChanged,Press & hold [activate] to lock it or set a combination. Upgrade & repair with iron and a construction tool using the secondary action.,,Zum Verschließen oder Kombination eingeben [activate] gedrückt halten. Kann mit Eisen und Bauwerkzeugen unter Verwendung der sekundären Aktion aufgewertet und repariert werden.,,
spotlightNailedDownPOI,blocks,Block,EnChanged,Spotlight (POI),Projecteur fixe,Scheinwerfer (POI),,Foco clavado
woodFrameGroupDesc,blocks,Block,EnChanged,"Used for bases. Upgrade & repair with wood & a construction tool. Upgrade more with iron,  concrete mix & others.",,Wird für Basen verwendet. Kann mit Holz und Bauwerkzeugen aufgewertet und repariert werden. Kann unter anderem mit Eisen und Betonmischung weiter aufgewertet werden.,,
cntCar03SedanDamage0,blocks,Container,EnChanged,Sedan,Berline bleue,Coupé,,Sedán azul
cntCar03SedanDamage1,blocks,Container,EnChanged,Damaged Sedan,Berline bleue endommagée,Beschädigtes Coupé,,Sedán azul estropeado
cntLootCrateShamway,blocks,Container,EnChanged,Shamway Box,Caisse Shamway,Shamway-Karton,,Caja de Shamway
cntLootCrateShotgunMessiah,blocks,Container,EnChanged,Gunstore Box,Caisse d'armurerie,Waffenladen-Karton,,Caja de almacenaje de armas
cntLootCrateWorkingStiffs,blocks,Container,EnChanged,Working Stiffs Box,Caisse Working Stiffs,Working-Stiffs-Karton,,Embalaje de la serie Working Stiffs
plantedCorn1,blocks,Farming,EnChanged,Corn Seed,,Samen: Mais,,
plantedCorn3Harvest,blocks,Farming,EnChanged,Planted Corn 3 (Harvestable),Récolte de tige de maïs planté 2,Gepflanzte Maisstaude 3 (erntebereit),,Sembrado Tallo de maíz 2 Cosecha
barbedFenceDesc,blocks,Trap,EnChanged,"Barbed wire fences made from wood and iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.",,"Stacheldrahtzäune aus Holz und Eisen können Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere sie mit der sekundären Aktion.",,
barbedWireSheetDesc,blocks,Trap,EnChanged,"Barbed wire made from iron can slow down enemies, making them easier to deal with. Place it by using the secondary action.",,"Stacheldraht aus Eisen kann Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere ihn mit der sekundären Aktion.",,
rScrapIronPlateMineDesc,blocks,Trap,EnChanged,A primitive pressure plate mine made of iron and gunpowder. Good for hobbling or killing most enemies.\n [ Crafted in [dd6262]Ammunition Table[-] with a Tool & Die Set. ],,"Eine primitive Druckplattenmine aus Eisen und Schießpulver. Gut, um die meisten Gegner zu verstümmeln oder töten.\n [ Herzustellen im [dd6262]Munitionstisch[-] mit dem Tool & Die Set ]",,
hungry2Desc,buffs,Buff,EnChanged,You are dying of starvation! Find something to eat!,Vous mourrez de faim.,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
hungry2Tooltip,buffs,Buff,EnChanged,You are dying of starvation! Find something to eat!,Vous mourrez de faim.,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
painkillersBuffDesc,buffs,Buff,EnChanged,You took painkillers. Stuns will affect you less now.,,"Du hast Schmerzmittel genommen, deine Chance beäubt zu werden ist nun geringer.",,
thirsty2Desc,buffs,Buff,EnChanged,You are dying of thirst! Find something to drink!,Vous avez très soif et devriez boire beaucoup.,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
thirsty2Tooltip,buffs,Buff,EnChanged,You are dying of thirst! Find something to drink!,Vous avez très soif et devriez boire beaucoup.,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
blunderbussAmmoDesc,items,Ammo,EnChanged,Blunderbuss ammo can be made with paper and gun powder plus small rocks.,,"Munition für die Donnerbüchse kann mit Papier, Schießpulver und kleinen Steinen gefertigt werden.",,
